Sr. no,SKU,B2B Online,Lehenga Title,Category,Size,Choli Fabric,Lehenga Fabric,Dupatta Fabric,Inner Fabric,Color,Lehenga Length,Lehenga Flair,Lehenga Closer,Lehenga Stitching,Blouse Length,Blouse in Mtr,Dupatta Width,Dupatta Length,Sleeve,Sleeve Length,Neck Type,Work/Pattern,Work Type,Waist,Bust,Stitching,Content,Description,HSN,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Img 8,Img 9,Img 10,Img 11,Img 12,Img 13,,,,,
135,1010227_Light Peach,1895,Elegant Light Peach Floral Embroidered Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Designer Border & Sleeve Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Peach,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Three-Quarter Length,Round Neck,All-Over Floral Vine & Lattice Border Pattern,Multicolor Thread Embroidery,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric:Altra Stin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery || Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1mNH3GZb0-Hq9kjVcHir5KUbluCbCy4NF&usp=drive_copy,https://drive.google.com/open?id=1VXHSizMglGQOCmgWVIXXNg_M_5LEN1cC&usp=drive_copy,https://drive.google.com/open?id=1lgDtj6Rf2q-YwQ07BmXAg_v-M1cvF8UO&usp=drive_copy,https://drive.google.com/open?id=14il7Q3e1Dkj8HnGn_1bXoOx--IuVEf_x&usp=drive_copy,https://drive.google.com/open?id=1RYA9WkqemF531V8bzuOqe78ekjFb7Cj6&usp=drive_copy,https://drive.google.com/open?id=1hgYL0coHcIK8VUqw6eDqDQU-p3TPCFL3&usp=drive_copy,https://drive.google.com/open?id=1kC4wSFKGAfZgHRGT0k_zUr1MB0tWRgcG&usp=drive_copy,https://drive.google.com/open?id=1qmwn5Eds6V6KR9ymzUD5isKr2ewlM-OD&usp=drive_copy,https://drive.google.com/open?id=1tw-ds9WFzoO-Kx8rDy1KQAiETCgF0wxn&usp=drive_copy,https://drive.google.com/open?id=1D3sBUF4rPEM0RzoA5DZl_c8y6Q8NRTAe&usp=drive_copy,,,,,,,,,,
136,1010225_Blue,1795,Royal Navy Blue & Antique Traditional Wedding Wear Semi-Stitched Georgette Lehenga Choli with Intricate Geometric Embroidery Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Blue,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,Traditional Geometric & Floral Motif Pattern,Thread Embroidery with Border Detailing,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Taffeta Silk || Inner Fabric:Altra Stin Silk || Choli Fabric: Taffeta Silk || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery || Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1flw8qGMVNQrz5ZqNOUWm9ugKn038pyJ-&usp=drive_copy,https://drive.google.com/open?id=1bF87jTEf4B4LgRwbuT8IQKl7ujqc64lz&usp=drive_copy,https://drive.google.com/open?id=1Vnh2dVn-Fiba2G0s6ypwO-ch9w9fm8Qb&usp=drive_copy,https://drive.google.com/open?id=1qKfEewDKsl0KD0s_VoRokXCLuSQFhjwn&usp=drive_copy,https://drive.google.com/open?id=1KBUaPNPHR2v8q-2mAujvLl7FLdnr5unD&usp=drive_copy,https://drive.google.com/open?id=1y_HZ2V5c1KnV-4q5z9MstIEbEBkBEzK9&usp=drive_copy,https://drive.google.com/open?id=11UTy04ImjAGnIi1yqxXfqWDlxpe9orTz&usp=drive_copy,https://drive.google.com/open?id=1fOD7B2L_BG7Mf2pEAODC7COQxJGOywyG&usp=drive_copy,https://drive.google.com/open?id=1vs_j2e12aWsb3STY0lVw0gTmD7QiUgVA&usp=drive_copy,https://drive.google.com/open?id=1CAstK6xC4JRjxxyY_gN-YdMPzY71aUyu&usp=drive_copy,,,,,,,,,,
137,1010222_White,1795,Off-White Festive & Wedding Wear Semi-Stitched Taffeta Silk Lehenga Choli with Multicolor Floral Thread Embroidery,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Taffeta Silk,Net,Crepe,White,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,All-Over Multicolor Floral Embroidered Motifs with Heavy Designer Border,Multicolor Floral Embroidered,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Taffeta Silk || Inner Fabric:Crepe || Choli Fabric: Taffeta || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery || Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1lxMSGjJ-Z0RLagHsP7ismK7G7rFFOL0G&usp=drive_copy,https://drive.google.com/open?id=1ZHRJ1l5xL2hRBS-iicsJcwjlGrrPx1YR&usp=drive_copy,https://drive.google.com/open?id=1lTaVT0IUHZw84BlXediUky-zzi8cOSjb&usp=drive_copy,https://drive.google.com/open?id=12xwPW9Un0fl38ePooHvCIogQt84DGGvR&usp=drive_copy,https://drive.google.com/open?id=17cCI4hn5qW-1k2aFpIjKD7htQrLoy_g5&usp=drive_copy,https://drive.google.com/open?id=18OL3LQlUrPdp4M4NhJyQR1MkleaTP-MQ&usp=drive_copy,https://drive.google.com/open?id=1WsKBQECzxRD7MlXO3tBOQ5SekO3C4jCk&usp=drive_copy,https://drive.google.com/open?id=1Kr_AmyoJe9UO4J1vgpE8yniLQi5sEfJu&usp=drive_copy,,,,,,,,,,,,
138,1010221_Yellow,1695,Elegant Pastel Yellow Festive & Wedding Wear Semi-Stitched Net Lehenga Choli with Multicolor Thread Embroidery Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Yellow,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Three-Quarter Length,Round Neck,Floral & Vine Embroidered Motifs,Multi-Color Thread Embroidery,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric:Altra Stin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery || Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1F2H2Qwhh8FdmskKUiOTiDrggJJ0huPLn&usp=drive_copy,https://drive.google.com/open?id=1q0SUsmb_8e3gXDqh0grVk5UyRF4IXO5T&usp=drive_copy,https://drive.google.com/open?id=1QrAsdn8Wx6oo-xTZDn5lI0n0gGSLTBvl&usp=drive_copy,https://drive.google.com/open?id=1y0kMv51YoLGcgWKcsPf0kHavhy2Zgv2-&usp=drive_copy,https://drive.google.com/open?id=1iA2yNoVuwp-Op6kaooiR_YJLMMlampM2&usp=drive_copy,https://drive.google.com/open?id=13GYN90Sh7opmI_N7LN9-RrJrM2FCq06u&usp=drive_copy,https://drive.google.com/open?id=15rQapnH27z8uv-q13nenTgQcEoEFEaeo&usp=drive_copy,https://drive.google.com/open?id=1lx-TcwnCQX6qpN5JPXcTfj3pou8yJ8R1&usp=drive_copy,https://drive.google.com/open?id=1HzTum04Lp_KFfPwDJxG83AWREVR5zgsc&usp=drive_copy,https://drive.google.com/open?id=1BZsF9KuuTKbDkIxbZMy1oHRqmxSynkIM&usp=drive_copy,,,,,,,,,,
139,1010220_Peach,1695,Peach Net Floral Embroidered Festive & Wedding Wear Semi-Stitched Lehenga Choli with Thread Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Peach,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,Floral & Paisley Embroidered Motifs with Heavy Border Detailing,Multi-Color Thread Embroidery,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric:Altra Stin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery || Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1wrO0bcASMr9RdFnpusuJV-VRxBR4_omS&usp=drive_copy,https://drive.google.com/open?id=1e40rsOBHvfJbUPbj8WVeJ2TRVF014tWG&usp=drive_copy,https://drive.google.com/open?id=1a6dpZxvYc5gIU77zSVlLlOk2fOh07ilB&usp=drive_copy,https://drive.google.com/open?id=1dX0BTHXXXuakr6IvDEaArJ6dpYWk2ddv&usp=drive_copy,https://drive.google.com/open?id=1GEZp5YX2FuKrGuAYFzwZOPsOY6arPpyo&usp=drive_copy,https://drive.google.com/open?id=1Vg0puKv45Hi1Owb07YmPYDDRnMazbtRq&usp=drive_copy,https://drive.google.com/open?id=1hQLCuqVzrQ2FsSzPveedv1zGfiA82Sj-&usp=drive_copy,https://drive.google.com/open?id=1r5KUxlvbXeDa8KWjXLOYa0SKmTDET7bw&usp=drive_copy,https://drive.google.com/open?id=1zoZHRUA9Edhyc6jHam66z5ZHrM94Ayws&usp=drive_copy,https://drive.google.com/open?id=1TPKPwwD_LZ9ztKObC2HNijDtIveJ3CUl&usp=drive_copy,https://drive.google.com/open?id=181oL08Gq6jw2KwKXto9gR39W0iFMny8R&usp=drive_copy,,,,,,,,,
140,1010216_Dusty,1795,Dusty Rose Taffeta Silk Embroidered Party Wear Semi-Stitched Lehenga Choli with Floral Thread Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Ultra Satin,Dusty,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,Round Neck,All-Over Floral & Vine Embroidered Pattern,Thread Embroidery & Intricate Lace Border Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric:Altra Stin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery || Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1wHrulstG6awayaroZGbV8ad_fX88jP-2&usp=drive_copy,https://drive.google.com/open?id=1HlXwe4Q67c1WLtXGDICF8wjhbm33_e1J&usp=drive_copy,https://drive.google.com/open?id=1Jy7olUfS-D9EAOC4lgh4qHkNPs-8TuM5&usp=drive_copy,https://drive.google.com/open?id=1d-CVDbvkKw8zyRWxHltl6z8s09RMustr&usp=drive_copy,https://drive.google.com/open?id=1if-KAq7DU9QumlDRvKdOdPW_TSDi_6lJ&usp=drive_copy,https://drive.google.com/open?id=1NrjHh2tPSREmeFyuRvBq0G_k7bG_4Ne1&usp=drive_copy,https://drive.google.com/open?id=1_1brdOJLtq64gDXEs1gxpPgOL5upLzsU&usp=drive_copy,https://drive.google.com/open?id=1m9lpBrujHT1-DfHIy-SQI7J_3UPd9h5W&usp=drive_copy,https://drive.google.com/open?id=1ul8Kw_TDTlefiZAVP6d-_TOSavphigKj&usp=drive_copy,,,,,,,,,,,
141,1010214_Maroon,2195,Elegant Coral Red Festive & Wedding Wear Semi-Stitched Silk Blend Lehenga Choli with Embroidery & Thread Work,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Taffeta Silk,Net,Crepe,Maroon,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Three-Quarter Length,V-neck,Traditional Floral Embroidered Motifs with Heavy Border Design,Embroidery with Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Taffeta Silk || Inner Fabric:Crepe || Choli Fabric:Taffeta Silk|| Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery || Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1FsxfwMk-LyLcypGfj_oOg7bSgHRdTS1y&usp=drive_copy,https://drive.google.com/open?id=18NeXdT9vgF5wyv3n32aRpD4ANm8TpjM2&usp=drive_copy,https://drive.google.com/open?id=1jTK4GxebJ613RMO-ZUjaDY6emWQxxhni&usp=drive_copy,https://drive.google.com/open?id=1tnrtDE279l--w3sYrbpI85gfLPt_5zOp&usp=drive_copy,https://drive.google.com/open?id=1H7pX2OGVkkvSm54Fs4T8bsZv2CvC0kxL&usp=drive_copy,https://drive.google.com/open?id=149KTLlU_leWoowOqnUaaNm-FNhNZvoXv&usp=drive_copy,https://drive.google.com/open?id=1pjf1WhuTlPa7QK7j8-39aelTROWvYU3m&usp=drive_copy,https://drive.google.com/open?id=1xFQl2tRcAq74Noiq1h55lVVfxZ9P2Tjt&usp=drive_copy,https://drive.google.com/open?id=1CN6tTdDodRpxEteF9trsa9NaoqeDPyXi&usp=drive_copy,,,,,,,,,,,
142,1010209_Blue,1795,Navy Blue Festive Wear Semi-Stitched Net Lehenga Choli with Floral Motifs Thread Embroidered Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Blue,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,"Embroidery, Floral Motifs, Thread Work Detailing",Embroidery Floral Motifs,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric: Altra Satin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery Work || Dupatta Work: Embroidery And Lace Diamond Work",62114290,https://drive.google.com/open?id=1sqQANIjy9D1K4rjCVo89ShsEVvrpq2Qg&usp=drive_copy,https://drive.google.com/open?id=1ep0c_1D1i8UM7-x2hCDGiJLw-mqQSQJS&usp=drive_copy,https://drive.google.com/open?id=1ZsitP6hG4U9B2W9Z8ZcgHRZJPyeOvZof&usp=drive_copy,https://drive.google.com/open?id=1UrGVYPZC7YWD-jfKyOhJbqzphqcPMclG&usp=drive_copy,https://drive.google.com/open?id=1ltAqKCEu5vVMcn4RbkXyX-KcScJYDClN&usp=drive_copy,https://drive.google.com/open?id=1a_za-WB1qFF24zaLV0qwzEwnZPIKthft&usp=drive_copy,https://drive.google.com/open?id=1r5P4Ggd2bQj_Xd-Wv97EFZnwPKiZfJni&usp=drive_copy,https://drive.google.com/open?id=1cwWEjPDuIlkdikd0cVuKNM-CDLetShoF&usp=drive_copy,https://drive.google.com/open?id=1tKo3L7NeSoWfpWbcuTmocCaR8HOYBF4J&usp=drive_copy,https://drive.google.com/open?id=1ulc7kKIZDI3hIIKF4ioiiFyvGNgfq6pP&usp=drive_copy,https://drive.google.com/open?id=16XNfove79qEzw6Kf6HWpTGID13LJ0iWm&usp=drive_copy,https://drive.google.com/open?id=1TminvIMH1ec3u3KflNy69Cx_n-XNTFy3&usp=drive_copy,,,,,,,,
143,1010209_Green,1795,Green Festive Wear Semi-Stitched Net Lehenga Choli with Floral Motifs Thread Embroidered Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,"Embroidery, Floral Motifs, Thread Work Detailing",Embroidery Floral Motifs,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric: Altra Satin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery Work || Dupatta Work: Embroidery And Lace Diamond Work",62114290,https://drive.google.com/open?id=1l8P67HuxAlW9f-FpqV1B_kQADDSdd-Ml&usp=drive_copy,https://drive.google.com/open?id=1M3MCpJqKI5bgfy8Xbh-_BVs_v-3z2J30&usp=drive_copy,https://drive.google.com/open?id=1KA2xi0oGCoH4YvlQJeHcG3vSZbWr_CCD&usp=drive_copy,https://drive.google.com/open?id=1ojXm-GiBqEL_G_FyyGp7SgfQ9p19CXLS&usp=drive_copy,https://drive.google.com/open?id=1H4PNyd5vIjqBRrEnadgoT4FZkUrdH6Vu&usp=drive_copy,https://drive.google.com/open?id=1JsfcfmKCs7avMne76Hyz9z_6-o0T1jNn&usp=drive_copy,https://drive.google.com/open?id=1LP4d_9ijQz7gVzQySGbLpkYF5aGvyZ4a&usp=drive_copy,https://drive.google.com/open?id=1ZCsqRpKiA23iMfrk5VWJl8KZhWYlCbV3&usp=drive_copy,https://drive.google.com/open?id=1_pRWV4Uu-IZ_FGhKAB_fD3gc8G_A5s_m&usp=drive_copy,https://drive.google.com/open?id=1b0Xv4PeoDdtzVdByNrtCfteWIS84sa0B&usp=drive_copy,,,,,,,,,,
144,1010209_Purple,1795,Purple Festive Wear Semi-Stitched Net Lehenga Choli with Floral Motifs Thread Embroidered Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Purple,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,"Embroidery, Floral Motifs, Thread Work Detailing",Embroidery Floral Motifs,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric: Net || Inner Fabric: Altra Satin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery Work || Dupatta Work: Embroidery And Lace Work",62114290,https://drive.google.com/open?id=1Dh_mwcq9GkxyHDRKk_cBX4BRQGn2aG5H&usp=drive_copy,https://drive.google.com/open?id=15Ixjlw9NeDnYhjrtmftqSxUU5hZeZDs6&usp=drive_copy,https://drive.google.com/open?id=167wAWSsIafMfgalhUqOvaaYAsomw3eOl&usp=drive_copy,https://drive.google.com/open?id=1dzyoIHcJqAl3zXY0qiVhDOeuKox6ajqu&usp=drive_copy,https://drive.google.com/open?id=1Df9-kp6udkyZF7H4p1YcUT-RtU2zU2TK&usp=drive_copy,https://drive.google.com/open?id=1vESLryZI8wjTtrRYC6hCpkKOgxuHSNss&usp=drive_copy,https://drive.google.com/open?id=1JXAvQMXxyWWc0ouPC8c6dHyPbwImQRU5&usp=drive_copy,https://drive.google.com/open?id=19loiVRECMFzdIWGr7oTrgsun59nribNr&usp=drive_copy,https://drive.google.com/open?id=1pnd3CugVaXP_e4v5GSgPXkirrcUJP3CE&usp=drive_copy,https://drive.google.com/open?id=1_IhC2X6Ouh2inXPznGrDZoc0U4fzMytS&usp=drive_copy,https://drive.google.com/open?id=1m08OScklm7pR8N7O3JumudTxqjQHy01a&usp=drive_copy,https://drive.google.com/open?id=1EOU7xqAZPrvlw2YCZhBEVyMJ30r9xGIy&usp=drive_copy,,,,,,,,
145,1010208_Aqua Blue,1695,Aqua Blue Party Wear Semi-Stitched Georgette Lehenga Choli with Thread Embroidered Work,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Net,Crepe,Light Sky,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,"Embroidery, Thread Work, Beaded Detailing",Embroidery Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Georgette || Inner Fabric: Altra Satin Silk || Choli Fabric: Taffeta Silk || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Lace Work || Choli Work: Embroidery Work || Dupatta Work:Plain",62114290,https://drive.google.com/open?id=12AO0wcGiclceDPG__Gp6t8fWad4iu69f&usp=drive_copy,https://drive.google.com/open?id=1ma7UkOxIztv2XS-p4g9NH8iCp4I3D6hs&usp=drive_copy,https://drive.google.com/open?id=1dvt1TG5oCrD8Hu040Pf7lkLWTJJBD9XV&usp=drive_copy,https://drive.google.com/open?id=1gYY3p_VLT-GtUtdhl2CNOvxkkaS-yao8&usp=drive_copy,https://drive.google.com/open?id=1WQ81S8GkqRPAWyvr1N5p5jC3-DovFfqm&usp=drive_copy,https://drive.google.com/open?id=1aB1C5kj5IZ-N6jbm2Ap7MrlSvd1kYeBy&usp=drive_copy,https://drive.google.com/open?id=1QmLGVTDlKd92l7kIAJT7_zPi9srKWHZD&usp=drive_copy,https://drive.google.com/open?id=1Cx2YaDQ5ALIJkadIJr5ye8rYnkhG-L6U&usp=drive_copy,,,,,,,,,,,,
146,1010207_Green,1795,Elegant Emerald Green Party & Festive Wear Semi-Stitched Net Lehenga Choli with Floral Embroidered Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,"Floral Motifs, Thread Emboidery Work",Thread Emboidery Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric: Altra Satin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery Work || Dupatta Work: Embroidery And Lace Diamond Work",62114290,https://drive.google.com/open?id=18wgEaSpVHdS8ogKqfCZmpKhkUufaiKZS&usp=drive_copy,https://drive.google.com/open?id=1eocF3gwf9LVLAO4WRWgaikVh3m9y7qKt&usp=drive_copy,https://drive.google.com/open?id=1MYWkdx_bcFMc8Ny-R13a8mqEW0FnkorD&usp=drive_copy,https://drive.google.com/open?id=1zTgR6WOHuHzVa05hqXhHpsimmIlMe6Qr&usp=drive_copy,https://drive.google.com/open?id=1llw_eTiJ1krPHd3iIveN9OUe2m9QaEN_&usp=drive_copy,https://drive.google.com/open?id=1H6pxEFfAXQnf5zD6njhdJosNjJ7x_4nS&usp=drive_copy,https://drive.google.com/open?id=153s0dK3ySS0aXT2PhDuCqmryQJSiQCRM&usp=drive_copy,https://drive.google.com/open?id=1XE2qB-9dIsMmVkeNFmzs6MslWaRhLQdU&usp=drive_copy,https://drive.google.com/open?id=1VeX5-DmylbmuOnhx5guIaWZUwb9rhAf7&usp=drive_copy,https://drive.google.com/open?id=1VgIgsCvSOAlg7VzASIxyFlFqmSn700Gv&usp=drive_copy,,,,,,,,,,
147,1010207_Blue,1795,Elegant Emerald Blue Party & Festive Wear Semi-Stitched Net Lehenga Choli with Floral Embroidered Work,Lehenga Choli,Free Size up to 42Inch,Net,Net,Net,Crepe,Blue,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round Neck,Hand Work/ Embroidery Work,Thread Work,up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net || Inner Fabric: Altra Satin Silk || Choli Fabric: Net || Dupatta Fabric: Net || Lehenga Length: 42 Inch || Choli Size: 0.8 Mtr || Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches|| Lehenga Work: Embroidery Work || Choli Work: Embroidery Work || Dupatta Work: Embroidery And Lace Diamond Work",62114290,https://drive.google.com/open?id=1VEkfnuSOTRCq2TPIU2eNC7ggTxCX1vB7&usp=drive_copy,https://drive.google.com/open?id=1VMq8UceBVWm7Ada7P5h1ZLOLUowIQpdp&usp=drive_copy,https://drive.google.com/open?id=1TJLchcRNuwTBQbR2C7l-b5G_1GowpEiH&usp=drive_copy,https://drive.google.com/open?id=1-NwyxkT_XjotSRfMNryAT-vgwOxBe2HZ&usp=drive_copy,https://drive.google.com/open?id=1ovlF-pT66cRLB0E_0IcPPyK7v7YE6skg&usp=drive_copy,https://drive.google.com/open?id=11J4EBj9bIOn5BBFb7sPxoAI_dR0roFFI&usp=drive_copy,https://drive.google.com/open?id=1cR8sIcRsQH_4BwldiFwjM0JhyZrLQN90&usp=drive_copy,https://drive.google.com/open?id=1S6Ho_-sO_lyK2_DvSYPr4T406ZChifuD&usp=drive_copy,https://drive.google.com/open?id=1e69i8kwD5Lyd1fve2C34fUY7mvVKOIcw&usp=drive_copy,https://drive.google.com/open?id=1mOLIfTIPbqG40ZJY8jf9alTmw856D9kl&usp=drive_copy,,,,,,,,,,
