SR NO,SKU NO,Size,Price,GST,Top Fabric,Pant Fabric,Lining,Topwear Type,Bottomwear Type,Top Length,Pant Length,Sleeve Length,Neck Type,Work,Colour,Stitching Type,Waist Type,Content,Description,HSN,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,,,,,,
21,CO-09_Peach,"M(38),L(40),XL(42),XXl(44)",1195,5%,Poly Linen Cotton,Poly Linen Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Round,Embroidery Multi Thread Work,Peach,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Poly Linen Cotton || Bottom Fabric :- Poly Linen Cotton || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Plain Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1hUYkTTFvg6PPiEK4oQeXzd_WV9273ZA9/view?usp=drive_link,https://drive.google.com/file/d/1C5I2cUwTFhCcdqejGZLvBkeUKscC-gop/view?usp=drive_link,https://drive.google.com/file/d/1mbjc-dBV8I1xxeoJEkwZSB1Tl6sMEptn/view?usp=drive_link,https://drive.google.com/file/d/1KUHtuvKkpBsUkRoilOjpfXKW9sXoyNiQ/view?usp=drive_link,,,,,,,,,,,,,
22,CO-010_Pink,"M(38),L(40),XL(42),XXl(44)",1895,5%,Poly Linen Cotton,Poly Linen Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,Pink,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Poly Linen Cotton || Bottom Fabric :- Poly Linen Cotton || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1i4dr6R1vufLo7zNQQVgP2ampt9dalYLF/view?usp=drive_link,https://drive.google.com/file/d/14YewxUpfb-1GaQBbOvdUeVelpa6IG_zn/view?usp=drive_link,https://drive.google.com/file/d/1SmXfzV03nR28MzKnNnD-Zeu62JghhZbP/view?usp=drive_link,https://drive.google.com/file/d/1x-rQkbgSgjQKONGbL2_TzyHr9mA2CAi4/view?usp=drive_link,,,,,,,,,,,,,
23,CO-010_TealGreen,"M(38),L(40),XL(42),XXl(44)",1895,5%,Poly Linen Cotton,Poly Linen Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread With Hand Work,Tealgreen,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Poly Linen Cotton || Bottom Fabric :- Poly Linen Cotton || Top Work Type :- Embroidery Multi Thread With Hand Work || Bottom Work :- Embroidery Multi Thread With Hand Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1fFejjMFdqQ0iiHvOj0xRp2GC-6RDfj_0/view?usp=drive_link,https://drive.google.com/file/d/1ChHdEdLHXvslzoO2mV2n0CYgKxxGAYDL/view?usp=drive_link,https://drive.google.com/file/d/1W64CGK0KCSRkNSCblonMZrS5gVRT-T_e/view?usp=drive_link,https://drive.google.com/file/d/1VDugZ06yCTyvWFbuKIcZJ2LCkPdkDzWq/view?usp=drive_link,,,,,,,,,,,,,
24,CO-011_Maroon,"M(38),L(40),XL(42),XXl(44)",1895,5%,Poly Linen Cotton,Poly Linen Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Collar,Embroidery Multi Thread With Hand Work,Maroon,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Poly Linen Cotton || Bottom Fabric :- Poly Linen Cotton || Top Work Type :- Embroidery Multi Thread With Hand Work || Bottom Work :- Embroidery Multi Thread With Hand Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1r4NvbyP8-9EhYij5Vae4-hR2gMfz4MhW/view?usp=drive_link,https://drive.google.com/file/d/1OzJ053EqMg0RDEsvMxfkNfgYp3GysiuI/view?usp=drive_link,https://drive.google.com/file/d/1IQPcSWoZRIqNbcf97krLkpJ20OaOy8pw/view?usp=drive_link,https://drive.google.com/file/d/1J0cndCvUD6c0Fi745CV17EUoPrHijeur/view?usp=drive_link,,,,,,,,,,,,,
25,CO-011_Pista,"M(38),L(40),XL(42),XXl(44)",1895,5%,Poly Linen Cotton,Poly Linen Cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Collar,Embroidery Multi Thread Work,Pista,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Poly Linen Cotton || Bottom Fabric :- Poly Linen Cotton || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1XDTuRAq7vtk1yixFMmpsU4cvPvRPuGzL/view?usp=drive_link,https://drive.google.com/file/d/1irtS26ZGvcNJvmHEmL8FqLQ2JtAmjBo6/view?usp=drive_link,https://drive.google.com/file/d/1C7XRWn_s7hPpuGMM3cyd4r9Tp7s-7HBX/view?usp=drive_link,https://drive.google.com/file/d/1D35aZUMCMrk7Psc2aC8vxLshWFikEhc_/view?usp=drive_link,https://drive.google.com/file/d/1M9ASnuHgjVYu-wY5fPSOiK5fDFCIz5Ha/view?usp=drive_link,,,,,,,,,,,,
26,CO-012_White,"M(38),L(40),XL(42),XXl(44)",1895,5%,Pure cotton,Pure cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Shirt Collar,Embroidery Multi Thread Work,White,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1hByjTMFhFfOi3qDvaXVGzT3Nc-vQNFod/view?usp=drive_link,https://drive.google.com/file/d/1hqDz6VpaY-ebQg8dFcyJhMXrBZemk7xL/view?usp=drive_link,https://drive.google.com/file/d/161wayWnlupK7XdM0zOd9SfyuVUaBRG1g/view?usp=drive_link,https://drive.google.com/file/d/1wY8xmGacf4fQ4eimpC0hSfkuVM16diwb/view?usp=drive_link,https://drive.google.com/file/d/1Q58LRpvXNizLcsWf1NR7F-IyBIdyTSZG/view?usp=drive_link,,,,,,,,,,,,
27,CO-013_Lblue,"M(38),L(40),XL(42),XXl(44)",1895,5%,Pure cotton,Pure cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'',3/4 Sleeve,Collar,Embroidery Multi Thread Work,Blue,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Poly Linen Cotton || Bottom Fabric :- Poly Linen Cotton || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1GNssS0qpVCsoIv2mOQ_orm6e7csU1mVM/view?usp=drive_link,https://drive.google.com/file/d/1RrW6HwJNj-hEdrX209-cNSOW_cGYntZ1/view?usp=drive_link,https://drive.google.com/file/d/1iBawrsmzlWtJ7g7UiH6EpFzDwd7ayDX7/view?usp=drive_link,https://drive.google.com/file/d/1mGJzDPdjAHlv2pBdAyGcRMF8neDWIvXC/view?usp=drive_link,https://drive.google.com/file/d/1Nz_Saam2Pkw93x8y7HCMtvH1Xkybwbxg/view?usp=drive_link,,,,,,,,,,,,
28,CO-013_Sky,"M(38),L(40),XL(42),XXl(44)",1895,5%,Pure cotton,Pure cotton,No lining,Top,Trousers/Pants,Regular,'40 Inches'','40 Inches'',Collar,Embroidery Multi Thread Work,Sky,Full Stitched,Elastic Waistband,"1 Top , 1 Pant","Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Top Work Type :- Embroidery Multi Thread Work || Bottom Work :- Embroidery Multi Thread Work || Stitched Type :- Full Stitch || Size :- M,L,XL,XXL ||",5407,https://drive.google.com/file/d/1FDRSe8LSVgrVdLpq0uPWisKT9Dh1uHeh/view?usp=drive_link,https://drive.google.com/file/d/1tpwQ7RUW9CuEZFvoO07JG_nEIJIoCfdn/view?usp=drive_link,https://drive.google.com/file/d/1JmLMVBqRj17VLF30gVY42xghVJBJKysD/view?usp=drive_link,https://drive.google.com/file/d/15w17bt_EOERGsSK7_X9fm1OrZ-nZaHfR/view?usp=drive_link,https://drive.google.com/file/d/1NsEwUJF-96OYKwZMurPrV0hEuQopoJLa/view?usp=drive_link,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
